alpha%22y212z14,Ἀνδοκίδου Ἑρμῆς
alpha%22y212z15,Αἰάκιον
alpha%22y212z16,Ἀστραπὴ δι' ἅρματος
alpha%22y212z18,Ἀκαδημία
alpha%22y212z20,Ἄγονον
alpha%22y212z22,Ἀγόντων
alpha%22y212z23,Ἀγορὰ ἀργείων
alpha%22y212z25,Ἀγορανόμος
alpha%22y212z26,Ἀγορητάς
alpha%22y212z27,Ἀγός
alpha%22y212z29,Ἀγοστούς
alpha%22y212z31,Ἄγος
alpha%22y213z1,Ἄγραυλοι
alpha%22y213z2,Ἀγριόθυμος
alpha%22y213z3,Ἄγροικος
alpha%22y213z4,Ἀγοσταί
alpha%22y213z6,Ἀγρῶσται
alpha%22y213z9,Ἀγύρτης
alpha%22y213z10,Ἀγυρτικά
alpha%22y213z11,Ἀγυρτώδη
alpha%22y213z12,Ἀγχέμαχος
alpha%22y213z13,Ἀγχίθυρος
alpha%22y213z14,Ἀγχίμολος
alpha%22y213z15,Ἀγχιστεία
alpha%22y213z20,Ἀδωροδοκήτως
alpha%22y213z21,Ἀδεκάστως
alpha%22y213z22,Ἀδιάκριτος
alpha%22y213z24,Ἀκονιτί
alpha%22y213z27,Ἄκομψον
alpha%22y213z28,Ἀναδήσασθαι
alpha%22y213z30,Ἀνδρολήψιον καὶ ἀνδροληψία
alpha%22y214z3,Ἀσκοφορεῖν
alpha%22y214z9,Ἀναγωγὴ οἰκέτου
alpha%22y214z16,Ἀνάγειν εἰς πράτην καὶ ἀνάγειν ὠνήν
alpha%22y214z22,Ἀμέλει
alpha%22y214z25,Ἀναίδην
alpha%22y214z26,Ἀναῤῥηθῆναι
alpha%22y214z27,Ἀνεῖλεν
alpha%22y214z29,Ἀπροόπτως
alpha%22y214z30,Ἀράβιος αὐλητής
alpha%22y214z32,Αὐτοβοεί
alpha%22y215z3,Ἀρχαιρεσίας
alpha%22y215z5,Ἄβυδος
alpha%22y215z9,Ἄμπωτις
alpha%22y215z11,Ἀναπεπτωκότες
alpha%22y215z12,Ἀνασεσυρμένη
alpha%22y215z14,Ἀνθερεῶνα
alpha%22y215z16,Ἀνθεστηριάδας
alpha%22y215z18,Ἀοίδιμος
alpha%22y215z22,Ἄξιον
alpha%22y215z27,Ἀναγινώσκειν
alpha%22y215z29,Ἀρεστήρ
alpha%22y215z31,Ἀπόμισθος
alpha%22y215z33,Ἀρχαίου
alpha%22y216z4,Ἅμα
alpha%22y216z7,Αἴσθεσθαι
alpha%22y216z8,Αἰσθάνεσθαι
alpha%22y216z9,Ἀνάργυρος τί ἐστιν
alpha%22y216z12,Ἄτακτοι
alpha%22y216z15,Ἀνάπηρος
alpha%22y216z17,Ἀπεψηφισμένοι
alpha%22y216z20,Ἀνάδικος δίκη
alpha%22y216z25,Ἀροῦν ἐπὶ καλάμῳ πυρούς
alpha%22y216z27,Ἀπειπεῖν
alpha%22y216z29,Ἅψασθαι
alpha%22y216z30,Ἀπόῤῥησις
alpha%22y216z32,Ἀποστελλόμενοι
alpha%22y217z3,Ἀπολαχεῖν
alpha%22y217z7,Ἀσπαλιεύεσθαι
alpha%22y217z9,Ἀσέλγεια
alpha%22y217z12,Ἀμύνεσθαι
alpha%22y217z15,Ἀμείβεσθαι
alpha%22y217z18,Ἀτυχεῖν
alpha%22y217z21,Ἀναυμαχίου
alpha%22y217z26,Ἀπόστολος
alpha%22y217z28,Ἀμνίδας
alpha%22y217z29,Ἀσκεῖν
alpha%22y218z3,Ἀποδεδύσθαι ἢ ἐκδεδύσθαι
alpha%22y218z8,Ἀδούλευτος
alpha%22y218z9,Ἀχαριστεῖν
alpha%22y218z13,Ἀνατιθέναι
alpha%22y218z16,Ἀκροθίνια
alpha%22y218z19,Ἀρκάδας μιμούμενος
alpha%22y218z22,Ἄτεγκτος
alpha%22y218z27,Ἄπαγε ξένων ἐν χειμῶνι
alpha%22y218z29,Ἀλώπηξ δωροδοκεῖται
alpha%22y218z31,Ἀριστίνδην
alpha%22y218z33,Ἄσμενοι
alpha%22y219z1,Ἀπόῤῥη<τ
alpha%22y219z2,Ἀνδραποδιστής
beta%22y219z8,Βάραθρον
beta%22y219z14,Βασιλεύς
beta%22y219z22,Βοώνης
beta%22y219z25,Βουλευτήριον
beta%22y219z26,Βουλή
beta%22y219z28,Βῆμα
beta%22y219z32,Βδελυρός
beta%22y219z33,Βεβαιώσεως
beta%22y220z7,Βομβυλιός
beta%22y220z11,Βουλεύσεως
beta%22y220z17,Βακτηρία
beta%22y220z21,Βρόχος
beta%22y220z26,Βραυρωνία
beta%22y220z29,Βαλανάγρα
beta%22y220z31,Βαλβίς
beta%22y221z1,Βουτύπος
beta%22y221z3,Βουλοκοπίδαι
beta%22y221z5,Βουτρόφος
beta%22y221z8,Βουζυγία
beta%22y221z12,Βωμολοχεύεσθαι
beta%22y221z16,Βλιμάζειν
beta%22y221z22,Βουφονία
beta%22y221z24,Βάτος
beta%22y221z26,Βάταλος
beta%22y221z30,Βοηδρομιών
beta%22y221z31,Βατίειαν
beta%22y221z33,Βολεῶνες
beta%22y222z1,Βοήθειαν
beta%22y222z2,Βοηθεῖν
beta%22y222z4,Βάκηλος
beta%22y222z5,Βρύτος
beta%22y222z6,Βουλαὶ πόσαι ἦσαν
beta%22y222z12,Βωμολόχος
beta%22y222z15,Βοσκήματα
beta%22y222z16,Βάσκανος
beta%22y222z19,Βασκαίνει
beta%22y222z20,Βάναυσοι
beta%22y222z26,Βασσάραι
beta%22y222z29,Βασίλειος στοά
beta%22y222z31,Βρενθύεται
beta%22y222z33,Βρέμει
beta%22y223z1,Βρενθύεσθαι
beta%22y223z3,Βρενθυόμενος
beta%22y223z4,Βρέτας
beta%22y223z6,Βριαροί
beta%22y223z7,Βριθομένη
beta%22y223z8,Βρίθων
beta%22y223z9,Βρέμεται
beta%22y223z10,Βρένθειον
beta%22y223z14,Βρένθος
beta%22y223z15,Βρεττηνοί
beta%22y223z17,Βρέτη
beta%22y223z18,Βρέττια
beta%22y223z20,Βραῦκος
beta%22y223z21,Βρεχμός
beta%22y223z22,Βρῆγμα
beta%22y223z25,Βέβηλον
beta%22y223z28,Βέβλωκεν
beta%22y223z30,Βάβαξ
beta%22y223z31,Βαβάκτης
beta%22y223z32,Βάρηκες
beta%22y224z1,Βαθμός
beta%22y224z3,Βαθμοί
beta%22y224z5,Βάθος
beta%22y224z7,Βάθρον
beta%22y224z10,Βαίτυλος
beta%22y224z12,Βατήρ
beta%22y224z17,Βέβλημαι
beta%22y224z18,Βάτια
beta%22y224z20,Βατίδες
beta%22y224z22,Βατραχίς
beta%22y224z24,Βατταρίζειν
beta%22y224z30,Βάττου σίλφιον
beta%22y224z32,Βάκχος
beta%22y225z4,Βάκχου διώνη
beta%22y225z6,Βαλανομφάλους
beta%22y225z9,Βάλανοι
beta%22y225z14,Βάσιμον
beta%22y225z15,Βραδυπλοήσας
beta%22y225z16,Βαρύ
beta%22y225z18,Βαρύηχος
beta%22y225z19,Βασανίτης λίθος
beta%22y225z22,Βασιλέως ὀφθαλμός
beta%22y225z24,Βαυκίδες
beta%22y225z26,Βαυκιζόμενον
beta%22y225z27,Βαυκίσματα
beta%22y225z28,Βαρυσυμφορώτατος
beta%22y225z29,Βῆλος
beta%22y225z31,Βίβλινος
beta%22y226z1,Βήρηκες
beta%22y226z5,Βῆσσαν
beta%22y226z11,Βητάρμονας
beta%22y226z12,Βιβλιαίγισθος
beta%22y226z14,Βιβλίδες
beta%22y226z16,Βίκον
beta%22y226z17,Βάσανος καὶ βασανίζειν
gamma%22y226z25,Γλίχεσθαι
gamma%22y226z26,Γραμματεῖον
gamma%22y226z27,Γραφή
gamma%22y226z30,Γραμματεύς
gamma%22y227z1,Γέῤῥα
gamma%22y227z3,Γνώμην
gamma%22y227z4,Γνῶμαι
gamma%22y227z5,Γεισίπους καὶ γεισιπόδισμα τί ἐστιν
gamma%22y227z9,Γεννῆται τίνες εἰσίν
gamma%22y227z16,Γεωφανεῖον
gamma%22y227z19,Γλεῦκος
gamma%22y227z22,Γήπεδα
gamma%22y227z23,Γρῖφοι
gamma%22y227z24,Γλαῦκος
gamma%22y227z29,Γερουσία καὶ γέροντες
gamma%22y227z33,Γαλεάγρα
gamma%22y228z1,Γρυμέα
gamma%22y228z2,Γρῦ
gamma%22y228z4,Γαμηλία
gamma%22y228z9,Γεραιράδας
gamma%22y228z10,Γωνιασμός
gamma%22y228z11,Γυμνασίαρχοι
gamma%22y228z15,Γραμματοκύφωνα
gamma%22y228z20,Γυμπάνειν
gamma%22y228z23,Γνώμονας
gamma%22y228z26,Γαμηλιών
gamma%22y228z27,Γνωσιμαχῆσαι
gamma%22y228z29,Γυλιός
gamma%22y228z32,Γαμβρόν
gamma%22y229z3,Γαμήλιος
gamma%22y229z4,Γαλῆ Ταρσία
gamma%22y229z8,Γαιήοχος
gamma%22y229z9,Γαιήοχος
gamma%22y229z10,Γαζοφυλάκιον
gamma%22y229z11,Γαμήλια
gamma%22y229z12,Γαστρίζεσθαι
gamma%22y229z13,Γεννάδας
gamma%22y229z14,Γαίειν
gamma%22y229z15,Γαιόν
gamma%22y229z16,Γαιός
gamma%22y229z17,Γαῖσος
gamma%22y229z20,Γαίων
gamma%22y229z22,Γαλαθηνόν
gamma%22y229z23,Γαλακτοκόμος
gamma%22y229z24,Γαλακτώδης
gamma%22y229z25,Γαλαξία
gamma%22y229z28,γαλαρίας
gamma%22y229z29,Γαλεώτην
gamma%22y229z31,Γαλερόν
gamma%22y229z33,Γαλερωπός
gamma%22y230z1,Γαληψός
gamma%22y230z3,Γαλιάγκων
gamma%22y230z4,Γάλλια
gamma%22y230z5,Γάλλος
gamma%22y230z6,Γαλῶμες
gamma%22y230z7,Γάννυται
gamma%22y230z8,Γανύματα
gamma%22y230z9,Γανύσεται
gamma%22y230z10,Γαργαρεών
gamma%22y230z11,Γάρκον
gamma%22y230z13,Γαστερόχειρες καὶ ἐγχειρογάστορες
gamma%22y230z15,Γαστέρες
gamma%22y230z16,Γαστρίδες
gamma%22y230z18,Γαστρίμαργοι
gamma%22y230z19,Γάστριον
gamma%22y230z20,Γάστρις
gamma%22y230z21,Γαυλόν
gamma%22y230z26,Γαῦρος
gamma%22y230z28,Γαυσόν
gamma%22y230z29,Γαφάγας
gamma%22y230z31,Γέγηθεν
gamma%22y230z32,Γεγυρωμένους
gamma%22y230z33,Γεγωνεῖν
gamma%22y231z1,Γεῖσα
gamma%22y231z4,Γεισίποδες
gamma%22y231z7,Γείσωσις
gamma%22y231z8,Γειτονᾷν
gamma%22y231z9,Γείτων
gamma%22y231z10,Γειώρας
gamma%22y231z11,Γενεά
gamma%22y231z17,Γενέθλια
gamma%22y231z19,Γενέσια
gamma%22y231z21,Γενναῖος
gamma%22y231z23,Γεννῆται
gamma%22y231z26,Γένους
gamma%22y231z28,Γενούστης
gamma%22y231z30,Γεραράδες
gamma%22y231z32,Γεραιραί
gamma%22y232z3,Γέρανος
