aἀποκατάστασις
ὁ παφλαγὼν οὑτοσὶ προσέρχεται ὠθῶν κολόκυμα καὶ ταράττων καὶ κυκῶν
ὁ βρισαύχην
ὁ θηλυδρίας
ὁ ὠνούμενος
ὃ θαρσαλέως
ᾗ βούλονται
ᾗ νομίζεται
ὁ καρπάθιος τὸν λαγῳόν
ὁ σικελικὸς τὴν θάλασσαν
ὁ τρύγοιπος ταῦτα πάντ' ἰάσεται
ἡ συκάμινος συκαμίνῳ ῥύπτεται
ὦ θαυμαστὰς ἐξευρίσκων ἐπινοίας
ε ποιπνύοντα
ε τανηλεγέος
ἓ ταρχύσωσιν
ἢ μιμαλλόνες
ὁ παντάσκιος
ὦ πονωπόνηρε
ὦ φιλότ̣η̣⸢ς
ὦ δειλακρίων σύ
ἡ συρακουσῶν δεκάτη
ἡ τετράγωνος ἐργασία
ι λιγύφθογγοι
ὁ σπονδοφόρος
ὁ προστρόπαιος
ἡ λακεδαιμονίων
ὦ σπερμαγοραιολεκιθολαχανοπώλιδες
δ' οἱ δέατο
δ' ἐς βρωτύν
δ' ἄρ'
δ' ἄρα
δ' αἰάζω
κ' ἀλαός
κ' οὐδείς
γ' ἄμμοροι
θ' ὁλκάζει
δ' ὁμώροφον
δ' ἠριγένεια
ἀhικuεύς
ἀhιχuεύς
ἀhιχχuεύς
ἄhερις
ἀhέριχuος
ἀhερίχuης
ἀhερίχuων
ἀhεριγuος
ἀhεριγuόντας
ἀhεριχuοίτας
ἀhεριχuόντας
ϝhεκάδιος
ϝhεδιέστας
ἀhεδαδωρος
ἀhοριμένης
ἀhωριμένης
γuεγuιν
γuόϝyα
γuοῦς
γuουγuότας
γuῶζος
γuίατος
γuαδίας
γuατίας
γuελάνα
γuιάζων
γuιάτωρ
γuλέμος
γuολφία
γuρίθαξ
γuίαθθος
γuλαισός
γuλαῖσος
γuοτάϝων
γuούκρας
γuωτάϝων
γuέλλομαι
γuλήτριον
γuλωμυλος
γuουκάρας
γuουκόλος
γuοϝαξεύς
γuρίθακος
γuριθάκων
γuρομυλος
γuασιληϝία
γuελέτριον
γuελεμνεύς
γuρίθαλκος
γuρίθαρχος
γuασσαρώϝης
έω
αʹ
αή
αι
αἰ
αἴ
αἶ
αὐ
αὖ
αὗ
βʹ
βή
βη
βᾶ
βῆ
βῇ
βῦ
βῶ
γʹ
γα
γε
γη
γᾶ
γῆ
γῶ
γῷ
δʹ
δέ
δή
δί
δα
δε
δο
δὲ
δᾶ
δῆ
δῦ
δῶ
εʹ
εα
ελ
εω
εἰ
εἴ
εἶ
εἷ
εὀ
εὖ
εὗ
εῃ
ζά
ζα
ζε
ζζ
ζᾶ
ζῆ
ζῶ
ηη
ην
ηρ
θʹ
θα
θε
θθ
θι
θρ
θώ
ιʹ
ια
ιι
ις
κʼ
κέ
κα
κε
κκ
κω
κἀ
κῇ
λʹ
λα
λῇ
λῖ
λῶ
μʼ
μά
μή
μύ
μὴ
μᾶ
μῦ
μῶ
νʹ
νή
νη
νυ
νύ
νώ
νῆ
νῦ
νῶ
ξῖ
ξῦ
οι
οἱ
οἴ
οἵ
οἷ
οὐ
οὔ
οὖ
οὗ
πα
πε
πη
πω
πώ
πᾳ
πᾶ
πᾷ
πῃ
πῄ
πῆ
πῇ
πῖ
πῶ
σʼ
σά
σέ
σε
σύ
σᾶ
σῆ
σῷ
τʼ
τά
τέ
τί
τε
τό
τύ
τώ
τὰ
τῆ
τῇ
τῶ
τῷ
υυ
υἷ
φʹ
φή
φι
φᾶ
φῆ
φῦ
φῶ
φῷ
χά
χῆ
χῖ
ψέ
ψε
ψό
ϛʹ
ἀΐ
ἀά
ἀέ
ἀή
ἀγ
ἀδ
ἀν
ἀτ
ἀϊ
ἀῶ
ἄα
ἄβ
ἄε
ἄη
ἄι
ἄλ
ἄμ
ἄν
ἄρ
ἄψ
ἄω
ἄϊ
ἅν
ἆς
ἇς
ἐέ
ἐή
ἐγ
ἐκ
ἐμ
ἐν
ἐξ
ἐς
ἐω
ἐὰ
ἐῶ
ἑέ
ἑή
ἑῷ
ἔα
ἔω
ἔῃ
ἕε
ἕκ
ἕξ
ἕο
ἠΐ
ἠέ
ἠή
ἠΰ
ἠρ
ἠύ
ἤν
ἤρ
ἥν
ἦα
ἦε
ἦι
ἦν
ἦρ
ἦς
ἧι
ἧλ
ἧς
ἰά
ἰέ
ἰή
ἰΰ
ἰα
ἰμ
ἰώ
ἰὼ
ἰῶ
ἰῷ
ἱά
ἱν
ἳν
ἴα
ἴε
ἴη
ἴξ
ἴς
ἴσ
ἴψ
ἴω
ἴῃ
ἵν
ὀά
ὀμ
ὀν
ὀᾶ
ὁΐ
ὄα
ὄη
ὄν
ὄφ
ὄψ
ὅν
ὅο
ὅς
ὅσ
ὑέ
ὑή
ὓς
ὕη
ὕς
ὕσ
ὕω
ὗε
ὗς
ὗσ
ὠή
ὠώ
ὡς
ὤα
ὤγ
ὤν
ὤχ
ὤψ
ὥς
ὦα
ὦν
ὦς
ὦψ
ὧι
ᾔα
ᾖα
ᾖε
ᾠά
ᾤα
ῥά
ῥα
ῥᾶ
ῥῶ
τὸ  ἠλύσιον
μὴ 'π' ἀχηνίῃ τρέπειν
μὴ 'δειν
μὴ 'πίσειέ μοι
οἵ ἑ
ἐν ᾧ
ἐς ὅ
ἐς ὃ ἄν
ἰσ ὅ κε
ἂν ἡ λεοντῆ μὴ ἐξικνῆται
μή σ' ὁ θυμὸς ἁρπάσας ἐκτὸς οἴσει τῶν ἐλαιῶν
βῆ δ' ἄρ'
ἐν δ' ἄρ' ἔβη
ἂν δ' ἄρ' ἔβαινεν
εἰ δ' οὖν
εἰ δ' ἄγε
οὐ μ' ἰᾶς
ἐκ δ' ὦσε
ἐς δ' ἄγε
ἦν δ' ἐγώ
εἰ δ' ἄγε δή
ἔν τ' ἄρα οἱ
ἔν τ' ἄρα οἱ φῦ χειρί
εἰ δ' ἄγε νῦν
οὔ μ' εἴας
ἐκ δ' ἔβαν
ἐκ δ' ἕλον
ὥς γ' ἐμοὶ κριτῇ
τί δ' ἄλλο μεγαροῖ
εἰ δ' ἐτεόν
ἂν δ' αὐτήν
ἂν δ' ἴσχων
ἐκ δ' ἄγαγε
ἐκ δ' ἦλθεν
ἐκ δ' ἄγαγε πρὸ φόωσδε
βῆ ῥ' ἴμεναι
ἐκ δ' αἴνυτο
ἐν δ' αἴθυια
ἐν δ' ἔπεσεν
ἐς δ' ἐρέτας
ὅς χ' ἕτερον
εὖ δ' ἀσπίδα θέσθω
ἐν δ' ἄνεμος πρῆσεν
εἴ γ' ἐθέλεις
μή μ' ἐρέθιζε
ἔκ τ' ὀνόμαζε
αἱ δέ
αἲ αἴ
αἴ κα
αἴ κε
αἵ οἱ
αἵ ῥα
αἶ αἶ
αὖ αὖ
αὗ αὗ
βῆ δέ
δή ῥα
εἰ μή
εἴ γε
εἴ κε
εὖ δέ
εὖ νυ
μή με
μή σε
μή τι
μὴ δή
μὴ οὐ
μὴ ἄν
μῦ μῦ
οἵ σε
οἵ τε
οἵ ῥα
οἷ κα
οὐ δή
οὐ μά
οὐ μή
οὐ σύ
οὔ νυ
οὔ οἱ
οὔ πῃ
οὔ σε
πῇ δή
τά ῥα
τί φῶ
τό οἱ
τό ῥα
τώ γε
τώ οἱ
τὸ τί
τὸ ῥά
τῶ ῥα
τῷ σε
τῷ ῥά
ἂψ δέ
ἄν τυ
ἐν δέ
ἐξ οὗ
ἐς δέ
ἐς ἀῶ
ἑὲ δέ
ἔα δή
ἠέ πῃ
ἠέ τῳ
ἥν ῥα
ὅς γε
ὅς οἱ
ὅς ῥα
ὥς οἱ
ὥς σε
ὥς ῥα
ὧι ῥα
οἵ κέ ἑ
ὡς δή ὧ δὴ αὐτοῖς
μὴ μή μ' ἄναξ
δή ῥα δή
εἰ δέ τῳ
εἰ μή τῳ
εἰ τό γε
μή τι γε
οἱ δέ νυ
οἵ κέ με
τά ῥά οἱ
ἐξ οὗ δή
ἔν γε δή
ἰή ἰή ἰή
ϋϋ ϋϋ ϋϋ ϋϋ ϋϋ ϋϋ
εἶ εἶ εἶ εἶ εἶ εἶ ἡ ἐπέκτασις τοῦ ει εἰλίσσεται
μὺ μῦ μὺ μῦ μὺ μῦ μὺ μῦ μὺ μῦ μὺ μῦ
οὐ μή σε ἀνῶ
ἐν τῷ ῥά σφι
ἐν δέ οἱ ἦτορ
σὺ δὲ μὴ πρὸς ὀργήν
οὐ μὴ δ’ ἐρεῖς
μὴ σύ γε μελαμπύγου τύχῃς
εἰ δʼ οὖν
εἰ δʼ ἄγε
εἰ δή τοι
εἰ δὲ ἄγε
εἴ κα λῇς
μή νύ τοι
μὰ τὼ θεώ
μὴ δὴ οὖν
νὴ τὼ θεώ
οὐ δή που
οὐ μὰ τήν
οὔ νύ τοι
τὸ δέ μοι
τῇ δ’ ἔνι
τῶ κέ τοι
ἐς τί ἔτι
ἦν δ’ ἐγώ
ὃς δέ κεν
νὴ δὶ καὶ νὴ δία ἑκατέρως
εἰ δ’ ἄγε νῦν
οἵ ῥά μιν ὦκα
δῦ δέ μιν ἄρης
ὡς ἄν τις εἴποι
σὺ δ’ ἐνὶ φρεσὶ βάλλεο
τὰ ἐκ τῶν ἁμαξῶν
τὰ ἐκ τῶν ἁμαξῶν σκώμματα
ὡς ἐς πᾶν ἀπορίας ἀφικέσθαι
εἰ μὴ καὶ λαγόνεσι
ὡς ἐκ τῶν παρόντων
τό νυ γὰρ κατεάξαμεν
αἴ κε ποθί
εἰ δὴ ὁμοῦ
εἰ μή σφας
εὖ οἶ ᾆσαι
εὖ ἂν ἔχοι
τί δή ποτε
τό γε ἧκον
τὰ ἐν ποσί
τὸ δ’ αὐτό
ἐς τὸ δέον
ἔς γε μίαν
ὡς δή σφιν
ὡς ἂν οἷός τε ὦ
τὰ τῷ αὐτῷ τὰ αὐτά καὶ ἀλλήλοις εἶναι δεῖ τὰ αὐτά
τὰ δὲ πρὶν ἔργα χερσὶ μέγιστ' ἀρετᾶς
ἂν μὴ παρῇ κρέα ταρίχῳ στερκτέον
ὡς ἂν ὑπὲρ τηλικούτων
σὲ δὲ ταῦτ' ἀρέσκει μἀλλὰ πλεῖν ἢ μαίνομαι
μή σε γέρον
τά τ’ ἐόντα
τί ἦν εἶναι
τὰ ἐν ποσίν
τῶ κε λάχον
ἐν τῇ σαρκί
ἐν τῇ ἑτέρᾳ
ἐν τῷ μέρει
ἐς τὰ λωπία
ὡς αὖ πάλιν
ὡς τὰ πολλά
ὡς τὸ εἰκός
μή τι φόβον δ' ἀγόρευε
οὔ με γάμος δέ
αἴ κε πάθοι τά κ' ἔρεξε δίκη δ' ἰθεῖα γένοιτο
ἐν τῷ μέρει τις καὶ τὸ πῦρ σκαλευσάτω
εἰ μὴ πατὴρ ἦσθα
εἰ τὸ μέσον κτήσαιο κορίνθου καὶ σικυῶνος
τὰ δ’ ἐρῆμα φοβεῖται
τῷ δὲ τοῦτο συμβαλὼν ἔχεις
αἴ κε πίθηαι
μὰ τὰ λάχανα
σὺ δὲ σύνθεο
τὰ δ’ ἄποινα
ἔκ τε κονίης
ὡς ἐν πίνακι
ἂν μὴ λεοντῆ γ’ ἐξίκηται τὴν ἀλωπεκῆν πρόσαψον
τί οὐ γενήσῃ ἰὼν ἐς ἀρβέλας
εἰ μὴ δύναιο βοῦν ἔλαυνε ὄνον
εἰ μὴ δύναιο βοῦν ἔλαυν’ ὄνον
ἐν δὲ σθένος ὦρσεν
εἰ μὴ ταχέως ἀπολώμεθα οὐκ ἂν ἐσώθημεν
μή με παρόψει
οὐ μὴ ληρήσῃς
οὐ μὴ πρόωμαι
οὐ τῷ τυχόντι
τί νυ βείομαι
ἐκ δὲ καρδίης
ἐν δὲ ῥυτῆρσι
ἐν τῷ φρονεῖν γὰρ μηδὲν ἥδιστος βίος
ἐκ δὲ χρυσηῒς νηός
φᾶ δὲ σίδαρον παιδὸς ἑοῦ φύρδαν μεστὸν ἔχουσα φόνου
εἰ μὴ κατένιψε
τά τ’ ἐσσόμενα
τὰ ἐκ τρίποδος
ἐν γῇ πένεσθαι μᾶλλον ἢ πλουτοῦντα πλεῖν
ἐν τῇ ἀδολεσχίᾳ
ἐν δὲ διχοστασίῃ καὶ ἀνδροκλέης πολεμαρχεῖ
εἴ τι πεισάνδρου βδελύττῃ τοὺς λόφους καὶ τὰς ὀφρῦς
ας σεο
αἲ γάρ
δὴ γάρ
εἰ γάρ
εἰ δεῖ
εἰ καί
εἰ μέν
εἲ γάρ
εἴ κεν
εἴ μιν
εἴ που
μή νυν
μή που
μὰ δία
μὰ τόν
μὴ γάρ
μὴ ὅτι
νὴ δία
νὴ τήν
νὴ τὸν
οἷ εἴη
οὐ γάρ
οὐ γὰρ
οὐ θήν
οὐ μάν
οὐ μέν
οὐ μήν
οὐ χρή
οὔ θην
οὔ περ
οὔ που
οὔ τἄν
πῆ μέν
πῇ μέν
πῶ μοι
σά μάν
τί δαί
τί κεν
τί μήν
τό μοι
τὸ θεέ
τὸ καί
τῇ μέν
τῇ ’μῇ
τῶ κεν
τ’ ἔλα
ἂψ ἴτω
ἄν του
ἐγ χρῶ
ἐκ σῶν
ἐν χρῷ
ἐν ἦρι
ἐν ἴσῳ
ἐν ὁδῷ
ἐς ἀεί
ἐς ὅτι
ἠέ μιν
ἠέ τευ
ἤν τοι
ἰν δέᾳ
ἰς ἅλα
ἰῇ μιᾷ
ἰῷ ἐμῷ
ὃς ᾔδη
ὅς κεν
ὅς σευ
ὅς τοι
ὡς δεῖ
ὡς ἐμέ
ὡς ἔνι
ὡς ἔφυ
ὡς ἔχω
ὡς ὅγε
ὥς κεν
ὥς σοι
ὧν ἄπο
οὐ γὰρ ἦ
τί σοι ὁ ἀπόλλων κεκιθάρικεν
οὐ γάρ μ' οὔ 'στιν ἀλλ' ἀκουστέον
εἰ οἷά τε
οἳ γάρ οἱ
οὐ γὰρ δή
οὐ μὲν δή
οὐ μὴν δέ
οὐ μὴν δή
τί γάρ με
τί γὰρ δὴ
ἐκ τοῦ δή
ὡς ἅτε δή
οἱ εἰς τὸ γόνυ
ὡς τὴν ἐν ἄργει ἀσπίδα καθελών
μὴ μὲν δὴ καθαρῷ θανάτῳ
μὰ γῆν μὰ παγίδας μὰ νεφέλας μὰ δίκτυα
εἴ τις ἐν αἰγύπτῳ σῖτον ἄγοι καὶ ἐν κιλικίᾳ κρόκον
τὰ γὰρ ἐς σωφροσύνην
ἦν τοι ὅτ' ἦσαν
αἴ κέν πως
εἰ μὲν οὖν
μὴ δώῃ σοι
οὐ γάρ που
οὐ γάρ τοι
οὐ γὰρ οὖν
οὐ μὲν οὖν
τῷ τοι ἄρα
ἐν οὐχ ἑνί
ἐξ ἔτι τοῦ
ὥς κέν τις
δή οὖν χρὴ δή
οὐ γάρ που γε
τί οὖν ἔτι ζῆ τῶν κοράκων πονηρίᾳ
εἰ καὶ νῦν ἐγὼ
νὴ τὸν καὶ ναὶ μὰ τόν
οἱ μὲν γὰρ οὐκ ἔτ' εἰσίν οἱ δ' ὄντες κακοί
τὰ ὦτα ἐπὶ τῶν ὤμων ἔχοντες
οὐ μέμ πως νῦν ἐστιν ἀπὸ δρυὸς οὐδ' ἀπὸ πέτρης
εἴ τις καὶ πηγή
εἰ καί τις ἄλλος
ἐν κέῳ τίς ἡμέρα
ἐν χρῶ εἰς χρῶτα
ἦν ἄρα καὶ πυρὸς ἕτερα θερμότερα καὶ λόγων ἐν πόλει τῶν ἀναιδῶν ἀναιδέστεροι
τὸ γὰρ τὴν φροντίδα ἔξω τῶν κακῶν οἰκεῖν γλυκύ
τὸ ἀπὸ τῆς παλλαινίδος
μή μοί ποτ' ἔλθῃς ὅτ' ἐγὼ πράττω κακῶς
νὴ τὸν θεόν
οὐ γὰρ ἀλλά
οὐ μὲν ἀλλά
οὐ μὴν ἀλλά
τό τοι πολὺ
τῷ νῦν λόγῳ
ἐν ὁδῷ ἦσαν
τὸ σὸν ὄναρ σοι διηγούμενος
μὴ τὸν ἐμὸν οἴκει νοῦν ἔχεις γὰρ οἰκίαν
ἐκ δύο τρία βλέπεις
αἴ κεν ἴδηαι
εἴ τοι θυμός
τὸ νῦν εἶναι
τὸ σὸν μένος
τ’ ἄρα τἆλλα
ἐγ χρῷ κουρά
ἐν χρῷ κουρά
ἐν ὠμῷ γήραϊ
ἔς περ ὀπίσω
ὓς διὰ ῥόδων
ὗς διὰ ῥόδων
τὸ μὲν νόημα τῆς θεοῦ τὸ δὲ κλέμμ' ἐμόν
νὴ τὴν ἱερὰν κεφαλήν
τὰ τῶν φωρῶν κρείττω
τὰ τῶν φόρων κρείττω
εἰ καὶ λύκου ἐμνήσθης
τὰ τῶν φόρων κρείττων
νὴ τὴν ὑγεῖαν
οὐ σὺν ἱδρῶτι
ἐκ πρὸ πολλοῦ
ἐκ τῆς ὀσφύος
ἐν ἅλῳ κρύπτῃ
ἐς τὸν λιμένα
τί οὐκ ἀπήγξω ἵνα θήβησιν ἥρως γένῃ
τί οὐκ ἀπήγξω ἵνα θήβῃσιν ἥρως γένῃ
ὃς ἀπὸ χθονὸς ὑψόσ' ἔεργεν
μὴ τὴν τέφραν φεύγων εἰς τὴν ἀνθρακιὰν πέσῃς
οὐ γὰρ ἄκανθαι
τὰ γὰρ περιττὰ
ἐς πῦρ ξαίνεις
ἐς ὅτι μάλιστα
ὓς ὑπὸ ῥόπαλον
ὡς οὐκ ἀρκέσοι
ὡς ἔνι μάλιστα
οὐ γὰρ πείσεις οὐδ' ἢν πείσῃς
ὡς οὐχ ὑπάρχων ἀλλὰ τιμωρούμενος
ὗς ὑπὸ ῥόπαλον δραμεῖται
τὰ ἀπὸ ναννάκου
τὰ ἀπὸ τρίποδος
τὰ ἐπὶ κοσκίνου
ἐκ τῶν παρόντων
ἐκ τῶν παρόντων καὶ ὡς ἐκ τῶν παρόντων
ἐν γὰρ ἀμηχανίῃ καὶ καρκίνος ἔμμορε τιμῆς
μὴ τοῦ λέγοντος ἴσθι
ἐκ τοῦ γεύματος γινώσκω
ἐκ τοῦ παραχρῆμα
ἐν χρῷ παραπλέων
ἐν ἅλῳ δρακάζεις
ἐς πῦρ κορίζομεν
τὸ γὰρ ἐσλεύσσειν
ἐν χρῷ κεκαρμένος
μή τευ μελαμπύγου τύχοις
ἐκ τοῦ παρείκοντος
ἐκ τοῦ ἐπιπλεῖστον
ὡς οὐκ ἐξικνούμενοι
τί δῆτ' ἂν ἀλγοίης ἐπ' ἐξειργασμένοις
οἱ καθ' ἡμᾶς
ἐς πόθ' ἕρπες
οὐ κατ' ἀσυμφανές
δὴ τότε
δῶ δῶμα
εἰ δέον
εἴ σφιν
εὖ μάλα
εὖ ἥκων
εὖ ἴσθι
μή κοτε
μὰ φρήν
μὴ δῆτα
μὴ νῶϊν
μὴ οὐχί
μὴ ἀλλά
μὴ ὅπως
οἱ τῆδε
οὐ δέον
οὐ δῆτα
οὐ κομῶ
οὐ ἕθεν
οὔ ποθι
οὔ ποτε
οὔ τἄρα
οὗ ἀρᾶς
οὗ ἕθεν
πῶ μᾶλα
σί βόλε
τι τίει
τὰ βάθη
τὰ νῶτα
τὸ δεῖν
τὸ πέρα
τὼ πόδε
τῷ λόγῳ
τῷ ὄντι
ἀν ἰθύν
ἐκ νέας
ἐκ πῖαρ
ἐκ τοῖο
ἐν αἰνῇ
ἐν δίκῃ
ἐν δοκῇ
ἐν κημῷ
ἐν λόγῳ
ἐν ἀκμῇ
ἐν ἅιδῃ
ἐν ᾅδου
ἐν ῥύπῳ
ἐξ ἁλός
ἐξ ἐμοῦ
ἐξ ὀπός
ἐς ἔνας
ἓν ἔτος
ἣν ἄτην
ἤν τινα
ἰν τυῖν
ἰν φάος
ἳν αὐτῷ
ὃς μέγα
ὅς σφιν
ὡς πρίν
ὡς ἡμᾶς
ὣς φάτο
τί καλὴ ἡ τάξις
οὐ πρὸς σέ
τί ἐστι τὸ
ἐν δοιῇ δέ
ὡς οἷόν τε
μὴ δῶτε τὰ ἅγια τοῖς κυσί
ἐξ ἑνὸς τὰ πάνθ' ὁρᾶν
ἐξ ἑνὸς τὰ πάνθ’ ὁρᾷ
τὼ μηρὼ μὴ συνέχειν
εἴ ποτέ τοι
ζῆ καῖε πῦρ
μὴ δόξῃ σοι
οὐ μετὰ δήν
τί δῆτά σοι
ἐξ οἵων ἔχω
μὴ πρὸς ἐμὲ τὰ ποικίλα
τὰ τρία τῶν εἰς θάνατον
τὸ ὅσον ἐπ’ ἐμοί
τὰ ὅπλα τοῦ φωτός
τὸ κατὰ γᾶς ξίφος
ἐν κέωι τίς ἡμέρα
