32z5,ἀνισάζειν καὶ ἀνισῶσαι
32z6,ἀνασηκῶσαι
32z8,ἀναχαιτίσαι
32z11,ἀνεκάς
32z12,ἀληλιμμένον
32z15,ἀκροσφαλές
32z17,ἀγοράζειν
33z1,ἄνθρωπος τῶν ἀπὸ κώπης
33z2,ἀρτίχνους
33z5,ἀναγκόδακρυς
33z7,ἀνοικτίρμων
33z9,ἀτενὴς καὶ ἀτεράμων ἄνθρωπος
33z12,ἀρτοπωλία
33z13,ἄβολον κτῆνος
33z15,ἀρύταινα
33z17,ἄωρα πράττειν
33z19,ἀγεωργίου δικάζεσθαι
34z1,ἀμήρυτοι λόγοι
34z4,ἀνωμοτί
34z5,ἀπομύξαι λύχνον
34z6,ἁδρῦναι
34z7,ἀπώμοτον πρᾶγμα
34z9,ἀνθρήνιον
34z11,ἀνυπήλιφος ναῦς
34z14,ἀξιοπενθής
34z16,ἀμυχαί
34z18,ἀνδρεράστρια γυνή
35z1,ἀνθρωπικὸς μῦθος
35z3,ἀθήρ
35z6,ἀειλογία
35z8,ἀνοητία
35z11,αἰσχροποιός
35z13,ἀτοπίας πλέως ἄνθρωπος
35z14,ᾄδειν ἀλεκτρυόνας
36z1,αἰκάλλοντες
36z5,ἀδολεσχεῖν καὶ ἀδολέσχης
36z13,ἄκυλος
36z14,ἀκρόδρυα
37z1,ἀνθοσμίας οἶνος
37z3,ἀναβῆσαι
37z4,αἰρόπινον
37z8,ἀπέρατον
37z10,ἀείζων
37z13,ἀχρήμων
37z14,ἀγωγεύς
38z1,ἀρτοποπεῖν
38z3,ἀπὸ στόματος λέγειν καὶ ἀπὸ γλώσσης
38z5,ἄβατος ὁδός
38z6,ἀκροᾶσθαι
38z7,ἁλμαίαν
38z9,ἀρχαιϊκὰ φρονεῖν
39z1,Αἴτνη ἄνθρωπος
39z5,ἀκραιφνὲς ὕδωρ
39z7,ἀνάρρημα
39z8,ἀκταινῶσαι
39z15,ἀκρατίσασθαι
40z11,ἀμεταχείριστα τὰ κοινά
40z13,ἀντιβολία
40z15,ἀμφαξονεῖν
41z1,ἀνάδικος δίκη
41z2,ἀπὸ ῥυτῆρος τρέχειν <ἐᾶν> ἵππον
41z4,ἀπονίψασθαι τὼ χεῖρε καὶ ἀπονίψασθαι τὼ πόδε. ἄρρατον
41z5,ἄρρατον
41z7,ἀπιστεῖν
41z8,ἀσφάραγος
42z4,ἀσκωλιάζειν
42z7,ἀσκαρίζειν
42z11,ἀρωματοπῶλαι
42z12,ἀωροθάνατος
42z14,ἀστρατηγία
42z15,ἀρρήκτως ἔχειν
42z17,ἀνεμοφόρητον
43z1,ἀσωτεῖον
43z3,ἀμφήμερος πυρετός
43z5,ἁμαξιαῖα ῥήματα
43z9,ἄπιστόν με τίθης
43z10,ἀνωφρυασμένος ἄνθρωπος
43z15,ἀπρόσοδος βίος
43z17,"ἁπλᾶ, διπλᾶ, τριπλᾶ"
44z1,ἄδουλος βίος
44z3,ἀπωλεσίοικον μειράκιον
44z5,ἁρπαξομίλης
44z7,"ἀνήδομαι, ἐφ' οἷς ἥσθην"
44z11,αὐθιγενής
44z13,ἀπολοπίζειν
45z1,ἀνδρὸς ἀγαθοῦ πεισθείς
45z3,ἀνταποπαίζειν
45z6,ἀπειλήματα
45z8,ἀποστοματίζειν
45z11,ἄτροφοι καὶ ἀνάγωγοι καὶ λακτισταὶ ἵπποι
45z13,ἀγγελικὴ ῥῆσις
45z15,ἀνταίρειν
45z16,ἀναμαντεύεσθαι
45z18,ἄδωρος χάρις
45z20,ἀποψύχει<ν>
46z1,αἰσχροεπεῖν
46z2,ἀνηλέητος καὶ ἀνηλεής
46z3,ἀφρίζειν καὶ ἀναφρίζειν. ἀμφιλαφὲς δένδρον
46z4,ἀμφιλαφὲς δένδρον
46z6,ἀποτραχύνου
46z7,ἀνακύψαι ἐκ νόσου. ἁλίπαστα
46z8,ἁλίπαστα
46z10,ἀνακεῖσθαι
46z12,ἀπαιθριάζειν
47z1,αὐλία θύρα
47z2,ἀφαγνίσαι
47z3,ἀναισχυντῆσαι
47z4,ἀσκεῖν κακά
47z6,ἀποψᾶσθαι
47z8,ἀπόρρησις
47z12,ἀπαγωγή
47z15,ἄρχων
47z16,ἀνταναγνῶναι
47z18,ἀπὸ καιροῦ λέγειν
47z19,ἀνασπᾶν βούλευμα καὶ ἀνασπᾶν γνωμίδιον
48z1,ἀνασχινδαλευθῆναι
48z3,ἀνῄρηκεν
48z6,ἀχάλινα στόματα
48z8,ἀνέζεσεν αἷμα
48z9,ἀνάκλητος
48z11,ἀβελτεροκόκκυξ
48z13,ἀκεῖσθαι καὶ ἐξακεῖσθαι
48z16,αἴσθημα
48z17,ἀρύστιχος
49z1,ἀμφὶ τὰ στρατεύματα δαπανᾶν
49z4,ἀμφιλεξάντων
49z6,ἀμφιλογία καὶ ἀμφισβήτησις
49z7,ἀνοίσω
49z8,ἀπομερμηρίσαι
49z10,ἁμαξιτὸς ὅδος
49z12,ἀποπτύσαι λόγους
49z14,ἀνδροκτονεῖον
50z3,ἀπορροή
50z4,ἄχρι κόρου
50z8,ἀποσπεύδειν
50z9,ἀναθερμαίνειν τὰς φρένας
50z11,ἀκρατὴς γάμων
50z12,ἀναβιβᾶται
50z14,ἀχανές
50z16,ἀποτεμεῖν μηχανάς
51z1,ἀκρατὴς χειρός
51z2,ἀπολέσθαι γελῶντα
51z5,ἀκωδώνιστον
51z7,ἀπάτητος ἀρχή
51z9,ἀναχώρησις
51z11,αὐτομήνυτος
51z12,ἀποκτινύναι
51z14,ἄριστος κλέπτειν καὶ ἄριστος λωπυδυτεῖν
51z16,ἀρίστων ἅπτεσθαι βουλευμάτων
51z18,ἀνδραποδώδεις ἡδοναί
51z20,ἀτερπὲς ἔργον
52z1,ἀνακράγοιτε
52z3,ἀπορθοῦν
52z4,ἀμπελουργεῖ
52z5,ἀπαράτρεπτα ἱμάτια
52z7,ἀπὸ πρώτης
52z8,ἀπὸ τόμου
52z9,βίου εὔροια
52z11,βάλλειν σκώμμασιν
52z13,βιβλιοπώλης καὶ βιβλοπώλης καὶ βιβλιαγράφος. βορβορώδης
52z14,βορβορώδης
52z16,βοών
53z1,βωμὸς θερμός
53z4,βίος θαλάττιος
53z6,βασκάνιον
53z11,βουλιμιᾷ τὰ βαλάντια
53z13,βορὸν χρῆμα
53z14,βαλαντιοτομεῖν
53z16,βληχών
53z19,βλάκες
54z1,βάλανοι φοινίκων
54z4,βδελυγμία
54z5,βατταρίζειν
54z7,βαμβαλύζειν
54z9,βαδιοῦμαι
54z11,βρυγμός
54z13,βωλοκοπεῖν
54z15,βολβωρυχεῖν
55z1,βριμοῦσθαι
55z4,βουβωνιῴη
55z6,βλιτομάμμας
55z11,βαθύπλουτος
55z13,βρῦ
55z16,γυναικηρὸς τρόπος
55z18,γερανίας
55z20,γῆ εὐήλιος
56z1,γλωττοδέψην
56z3,γόνιμα ἀγαθά
56z5,γονατίζειν
56z6,γυναικίζειν
56z8,γόης
56z9,γάργαλος
56z11,γαλῆν καταπέπωκεν
56z14,γραφεύς
57z1,γήπεδα
57z4,γέρων ῥυσός
57z5,γειτνία
57z6,γενναῖον ῥῆμα
